Date,Open,High,Low,Close,Adj Close,Volume,count,tb_polarity,tb_subjectivity,v_pos,v_neg,v_neu,v_com,mv_pos,mv_neg,mv_neu,mv_com,Movement,rsi
4/1/2021,2.2,2.2,2,2.01,2.01,29873800,1,0,0,0,0,1,0,0,0,1,0,-1,-1
5/1/2021,1.99,2.03,1.91,1.98,1.98,28148300,2,0.068181818,0.227272727,0,0,1,0,0,0,1,0,-1,-1
6/1/2021,2.03,2.23,1.97,2.01,2.01,67363300,0,0,0,0,0,0,0,0,0,0,0,-1,-1
7/1/2021,2.08,2.11,2.02,2.05,2.05,26150500,3,-0.267680776,0.358289242,0.024,0.17,0.806,-0.546733333,0.098666667,0.154,0.747,-0.320566667,-1,-1
8/1/2021,2.09,2.21,2.07,2.14,2.14,39553300,1,0.077840909,0.595454545,0.103,0.134,0.763,-0.6535,0.195,0.114,0.69,0.9318,1,1
11/1/2021,2.16,2.27,2.15,2.2,2.2,41695800,0,0,0,0,0,0,0,0,0,0,0,1,-1
12/1/2021,2.24,2.39,2.24,2.29,2.29,41549200,1,0.106060606,0.520039683,0.102,0.044,0.854,0.8777,0.165,0.051,0.785,0.9748,1,1
13/1/2021,2.33,2.38,2.13,2.18,2.18,45847700,2,0.25,0.444444444,0,0.146,0.854,-0.1778,0,0.146,0.854,-0.1778,-1,-1
14/1/2021,2.22,2.32,2.13,2.18,2.18,49638800,4,0.103228998,0.361296841,0.03675,0.0245,0.93875,0.209275,0.19375,0.02625,0.78,0.558525,-1,1
15/1/2021,2.2,2.55,2.18,2.33,2.33,162356400,68,0.010774588,0.203273258,0.074985294,0.052382353,0.872588235,0.042016176,0.179602941,0.081441176,0.738955882,0.167622059,1,1
19/1/2021,2.8,3.2,2.57,3.06,3.06,256276000,58,0.015306139,0.304130959,0.096844828,0.049655172,0.8535,0.071775862,0.1725,0.078534483,0.749,0.200591379,1,1
20/1/2021,3.29,3.34,2.75,2.97,2.97,181862200,41,0.015033446,0.275920867,0.100487805,0.067097561,0.832390244,0.009697561,0.167853659,0.081243902,0.750853659,0.17194878,-1,1
21/1/2021,3,3.06,2.85,2.98,2.98,64823800,20,-0.054801587,0.386031746,0.07495,0.0804,0.84465,-0.05667,0.1663,0.07645,0.75725,0.121695,-1,-1
22/1/2021,2.91,3.74,2.81,3.51,3.51,268273400,587,0.004586773,0.205381701,0.072706985,0.051241908,0.876051107,0.033079046,0.139879046,0.060555366,0.799550256,0.138049404,1,-1
25/1/2021,4.71,4.88,3.85,4.42,4.42,443238100,3834,0.030224484,0.357895431,0.088047619,0.115521739,0.850142857,0.178057143,0.224666667,0.099428571,0.675952381,0.361390476,-1,1
26/1/2021,5.09,5.19,4.37,4.96,4.96,456850200,7668,0,0,0,0.115521739,0,0,0,0,0,0,-1,-1
27/1/2021,20.34,20.360001,11.01,19.9,19.9,1222342500,14750,0.016669323,0.22744926,0.067466305,0.055393356,0.877137153,0.027510475,0.163743458,0.068937898,0.767314373,0.159487654,-1,1
28/1/2021,11.98,16.5,6.51,8.63,8.63,591223900,14899,0.039951443,0.297385747,0.079023424,0.066543661,0.854427881,0.028713068,0.162163031,0.0803762,0.7574554,0.167039244,-1,1
