Date,Open,High,Low,Close,Adj Close,Volume,count,tb_polarity,tb_subjectivity,v_pos,v_neg,v_neu,v_com,mv_pos,mv_neg,mv_neu,mv_com,Movement,rsi,Prediction,tb,tbPrediction,dvcom,dvPrediction
4/1/2021,6.7,6.82,6.52,6.58,6.58,11139200,14,-0.024036281,0.350204082,0.109642857,0.082,0.808357143,-0.138821429,0.12421429,0.085642857,0.790142857,-0.102357143,-1,-1,correct,-1,correct,-1,correct
5/1/2021,6.62,6.8,6.56,6.77,6.77,9108900,12,0.146445707,0.428175505,0.076666667,0.015333333,0.908,0.136408333,0.18225,0.014083333,0.803666667,0.310033333,1,1,correct,1,correct,1,correct
6/1/2021,6.71,6.91,6.63,6.71,6.71,11022300,20,0.023791667,0.22425,0.0788,0.0462,0.875,0.03422,0.17295,0.08325,0.74375,0.207315,1,1,correct,1,correct,1,correct
7/1/2021,6.75,7.12,6.72,7.06,7.06,13062800,44,0.059087684,0.374883795,0.119136364,0.089727273,0.791090909,0.093681818,0.27415909,0.091977273,0.633818182,0.277811364,1,1,correct,1,correct,1,correct
8/1/2021,7.22,7.64,7.1,7.56,7.56,23039300,66,0.041198462,0.226669621,0.086469697,0.048287879,0.865242424,0.121366667,0.19504545,0.049106061,0.755848485,0.266295455,1,1,correct,1,correct,1,correct
11/1/2021,7.64,7.79,7.32,7.65,7.65,15720100,61,0.034104215,0.228594197,0.064295082,0.06195082,0.873754098,-0.004381967,0.21381967,0.06757377,0.71857377,0.20794918,1,1,correct,1,correct,-1,incorrect
12/1/2021,7.69,7.71,7.48,7.63,7.63,9416000,48,0.060726574,0.330486149,0.088520833,0.053166667,0.858291667,0.065589583,0.162125,0.0626875,0.775166667,0.16958125,-1,-1,correct,1,incorrect,1,incorrect
13/1/2021,7.65,7.66,7.4,7.44,7.44,8345500,48,0.114417463,0.261407528,0.1043125,0.034333333,0.861333333,0.190970833,0.18852083,0.032125,0.779333333,0.363127083,-1,1,incorrect,1,incorrect,1,incorrect
14/1/2021,7.51,9.33,7.47,9.11,9.11,65231300,1851,0.02698114,0.279145684,0.081258779,0.048124257,0.870618585,0.066037925,0.19348298,0.056050783,0.750462993,0.255245165,1,1,correct,1,correct,1,correct
15/1/2021,10.68,11.56,9.4,9.84,9.84,153854700,4547,0.017736343,0.277714469,0.086520783,0.063248955,0.850227183,0.044985595,0.18305674,0.075069276,0.741878821,0.201970464,-1,1,incorrect,1,incorrect,1,incorrect
19/1/2021,10.85,12.39,10.58,12.35,12.35,112483200,3032,0.038580175,0.296569501,0.091469657,0.050983509,0.857548483,0.090491557,0.17953727,0.065822559,0.754634894,0.22087467,1,1,correct,1,correct,1,correct
20/1/2021,13.23,13.64,12.38,12.79,12.79,130140700,3261,0.046978069,0.294060351,0.093883778,0.056139221,0.849980374,0.079165011,0.19262067,0.069210672,0.738169887,0.233687764,-1,1,incorrect,1,incorrect,1,incorrect
21/1/2021,12.62,12.95,12.01,12.85,12.85,63272900,2609,0.039878738,0.305080045,0.097547336,0.061499425,0.840956688,0.084475546,0.18995784,0.077287466,0.732752779,0.224486508,1,1,correct,1,correct,1,correct
22/1/2021,12.37,14.28,12.17,14.04,14.04,120473600,5267,0.037267902,0.274886048,0.096484906,0.053804633,0.849713119,0.088832979,0.18971711,0.066366053,0.743921967,0.223486273,1,1,correct,1,correct,1,correct
25/1/2021,19.549999,20.83,15.74,18.030001,18.030001,363829100,2733,0.050164316,0.3113107,0.100262715,0.048246615,0.851492499,0.12828584,0.18122832,0.062434321,0.756343213,0.255158507,-1,1,incorrect,1,incorrect,1,incorrect
26/1/2021,19.09,19.51,17.190001,18.92,18.92,242740800,550,0.033314885,0.331996112,0.102367273,0.057058182,0.840547273,0.142413636,0.18603455,0.071638182,0.742305455,0.276069273,-1,1,incorrect,1,incorrect,1,incorrect
27/1/2021,20.25,28.77,19.809999,25.1,25.1,372222600,8407,0.022990882,0.229656906,0.072523017,0.04836089,0.879118711,0.048023135,0.16821946,0.057538599,0.774243488,0.184287118,1,1,correct,1,correct,1,correct
