Date,Open,High,Low,Close,Adj Close,Volume,count,tb_polarity,tb_subjectivity,v_pos,v_neg,v_neu,v_com,mv_pos
4/1/2021,448.440002,450.390015,432.5,442.26001,442.26001,637100,122,0.038225093,0.412993852,0.09842623,0.078983607,0.822598361,0.052461475,0.146663934
5/1/2021,440.769989,448.779999,439.820007,448.350006,448.350006,387100,103,0.021435574,0.403405585,0.100223301,0.078932039,0.820834951,0.055137864,0.128262136
6/1/2021,440,476.51001,440,468.019989,468.019989,585500,80,0.045427786,0.33934776,0.1243375,0.0805125,0.79515,0.08667375,0.1680125
7/1/2021,473.390015,490.459991,468.980011,489.609985,489.609985,596900,113,0.040398955,0.414331084,0.107044248,0.081778761,0.81119469,0.066730088,0.141389381
8/1/2021,493,499,472.899994,484.450012,484.450012,456100,226,0.000937037,0.399093454,0.095650442,0.098070796,0.806243363,0.00615885,0.144429204
11/1/2021,480,494.600006,477.730011,488.450012,488.450012,430900,154,0.03196638,0.350020996,0.082532468,0.084344156,0.833097403,0.03432013,0.123662338
12/1/2021,490.850006,517.450012,490.850006,508.809998,508.809998,538200,104,0.040907318,0.379529657,0.099759615,0.083875,0.816365385,0.097627885,0.146134615
13/1/2021,508.359985,513.070007,501.75,503.089996,503.089996,415700,161,0.052808356,0.400789237,0.115993789,0.070720497,0.813291925,0.137434161,0.162807453
14/1/2021,506.269989,524.02002,505.390015,515.570007,515.570007,458200,176,0.06537847,0.381588268,0.099380682,0.060965909,0.8396875,0.11993125,0.154903409
15/1/2021,511.450012,518.400024,498.170013,507.359985,507.359985,466300,225,0.0361342,0.404469899,0.097271111,0.076017778,0.82672,0.049869333,0.138871111
19/1/2021,517.409973,517.409973,496.109985,500.98999,500.98999,493200,228,0.064124285,0.408889675,0.101622807,0.065188596,0.833188596,0.103762281,0.147710526
20/1/2021,506.709991,510.369995,497.679993,502.279999,502.279999,320200,178,0.064826898,0.375771375,0.101983146,0.054662921,0.843353933,0.147983708,0.147949438
21/1/2021,501.76001,513.97998,500.320007,501.200012,501.200012,334900,233,0.079849139,0.445220489,0.10706867,0.06848927,0.824429185,0.114606867,0.149064378
22/1/2021,497.100006,503.179993,488.179993,502.019989,502.019989,280500,442,0.033265008,0.419386418,0.099420814,0.073825792,0.826737557,0.079477602,0.145506787
25/1/2021,503.450012,516.960022,486.320007,495.690002,495.690002,345200,243,0.027822512,0.41023239,0.090242798,0.061028807,0.848716049,0.1001893,0.143069959
26/1/2021,501.820007,502.579987,490.049988,490.600006,490.600006,369600,71,0.060941405,0.407369814,0.088690141,0.059225352,0.852084507,0.134911268,0.138690141
27/1/2021,478.839996,482.529999,452.5,455.480011,455.480011,883400,1184,0.017830016,0.381481665,0.072844595,0.089728885,0.837428209,-0.030812922,0.117745777
28/1/2021,461.579987,492.049988,459.579987,476.75,476.75,629200,12054,0.002014896,0.39967876,0.079927908,0.113786046,0.806286544,-0.073081774,0.125511614
29/1/2021,473.290009,487,465.779999,475.359985,475.359985,349300,10180,0.020616822,0.429002887,0.094088703,0.101558546,0.804348625,-0.014885157,0.143325246
1/2/2021,478.359985,488.890015,471.700012,484.040009,484.040009,321100,3488,0.037278362,0.406755482,0.099628727,0.094545298,0.805820528,0.021243062,0.151089736
2/2/2021,493.709991,498.859985,480.089996,480.179993,480.179993,388300,2755,0.036041065,0.394496212,0.094225771,0.086332486,0.819445372,0.01342069,0.149018512
3/2/2021,483.200012,486.859985,472.869995,474.619995,474.619995,293500,769,0.030373277,0.426953017,0.101927178,0.091342003,0.806702211,0.032953186,0.140648895
4/2/2021,476.910004,488.98999,473.059998,487.76001,487.76001,234300,7,0.214866071,0.458571429,0.139714286,0.102714286,0.757571429,-0.041785714,0.158142857
5/2/2021,492,492.640015,481.890015,486.929993,486.929993,179200,7,0.214866071,0.458571429,0.139714286,0.102714286,0.757571429,-0.041785714,0.158142857
8/2/2021,490.690002,509.290009,490.690002,500.01001,500.01001,226900,365,0.028243076,0.46466121,0.100243836,0.100632877,0.799123288,0.003486849,0.127112329
9/2/2021,499.350006,506.709991,496.320007,498.450012,498.450012,210700,423,0.041498477,0.448641365,0.094104019,0.094742317,0.811146572,0.016734043,0.123257683
10/2/2021,503.709991,505.459991,489.540009,498.019989,498.019989,325100,383,0.019685073,0.415195347,0.09656658,0.106195822,0.797253264,0.042329243,0.13773107
11/2/2021,502.130005,524.219971,500,506.079987,506.079987,556000,422,0.015860698,0.415114715,0.095694313,0.102604265,0.801668246,-0.021692891,0.126881517
12/2/2021,500.829987,506.910004,483.019989,491.899994,491.899994,455500,337,0.029059051,0.452787773,0.098023739,0.10837092,0.793611276,-0.022986944,0.132350148
16/2/2021,494.329987,495.859985,482.480011,487.309998,487.309998,269600,122,-0.006472085,0.420197622,0.072590164,0.12747541,0.799885246,-0.117880328,0.10092623
17/2/2021,486.559998,487.26001,472.200012,483.690002,483.690002,416400,143,0.043768419,0.402501434,0.094769231,0.098545455,0.806692308,-0.020553846,0.123664336
18/2/2021,479,490.76001,473.529999,487.640015,487.640015,201100,1301,0.024099712,0.421321161,0.093750192,0.106963105,0.799283628,-0.042086241,0.117541891
19/2/2021,492.26001,509.079987,488.899994,505.200012,505.200012,326600,988,0.040358612,0.449552568,0.093782389,0.096640688,0.809607287,-0.011352024,0.118606275
22/2/2021,497.350006,516.349976,491.929993,500.519989,500.519989,355300,309,0.02514074,0.426845713,0.098977346,0.094278317,0.806728155,0.049455663,0.131187702
23/2/2021,484.549988,505.98999,465.309998,502.869995,502.869995,340500,267,0.045857145,0.408524719,0.102749064,0.095419476,0.801779026,0.0173603,0.131509363
24/2/2021,505.380005,510.470001,490.040009,509.25,509.25,228200,780,0.001936574,0.414446041,0.089051282,0.105985897,0.804969231,-0.04612359,0.115683333
25/2/2021,506.480011,516,472.859985,473.079987,473.079987,377600,1364,0.012764843,0.396189304,0.087041789,0.095129032,0.817818182,-0.012158138,0.11443695
26/2/2021,478.609985,502.100006,475.790009,490.369995,490.369995,337100,514,0.018705362,0.393372068,0.087661479,0.09592607,0.816398833,0.015823735,0.120844358
1/3/2021,502.880005,514.97998,498,505.959991,505.959991,313700,79,-0.008187025,0.457701194,0.091632911,0.09021519,0.818126582,0.017281013,0.126974684
2/3/2021,508.529999,511,485.809998,487.339996,487.339996,227900,239,0.074258054,0.385597488,0.098041841,0.093949791,0.808020921,0.085266946,0.128853556
3/3/2021,486.549988,492.769989,453.790009,460.01001,460.01001,483300,351,0.036199391,0.428295923,0.096353276,0.103458689,0.800196581,0.026046439,0.135230769
4/3/2021,453.149994,461.720001,432.01001,446.929993,446.929993,538000,305,0.044685099,0.409793337,0.104488525,0.087019672,0.808495082,0.06721082,0.131029508
5/3/2021,452.589996,453.880005,411.880005,449.019989,449.019989,607500,7,-0.034691301,0.600556586,0.080571429,0.09,0.829285714,-0.0346,0.101142857
8/3/2021,445.359985,465,436.119995,441.459991,441.459991,427800,187,-0.030515653,0.455861167,0.076855615,0.119256684,0.803887701,-0.032906952,0.10340107
9/3/2021,462.98999,473.640015,457.26001,458.170013,458.170013,406300,300,0.031410865,0.426361389,0.104303333,0.10378,0.79193,0.015172,0.127396667
10/3/2021,465,472.690002,451.609985,460.869995,460.869995,327100,518,0.030206543,0.406424943,0.090503861,0.103349421,0.806164093,-0.010846525,0.11707529
11/3/2021,470.190002,481.149994,465.859985,474.320007,474.320007,478700,237,0.006060184,0.406466678,0.084919831,0.110523207,0.80457384,-0.033170886,0.116396624
12/3/2021,473.75,482.48999,468,471.98999,471.98999,238100,192,0.020044285,0.394375004,0.076395833,0.090338542,0.83325,0.0155375,0.117442708
15/3/2021,468.98999,477.940002,463,465.309998,465.309998,328600,159,0.065072117,0.395595627,0.090358491,0.087232704,0.822389937,0.062077358,0.12763522
