Date,Open,High,Low,Close,Adj Close,Volume,count
4/1/2021,8.43,9.19,8.4,9,9,17761800,69
5/1/2021,9.12,9.54,8.94,9.51,9.51,17399800,90
6/1/2021,11.02,12.04,10.52,10.77,10.77,63201800,378
7/1/2021,11.87,12.72,11.03,11.34,11.34,44603200,174
8/1/2021,11.38,11.89,10.68,11.31,11.31,25224400,65
11/1/2021,11.05,12.72,11.02,12.33,12.33,29367700,54
12/1/2021,12.68,13.54,12.18,13.35,13.35,30375400,56
13/1/2021,13.84,15.87,13.55,15.02,15.02,51322500,168
14/1/2021,15.46,19.41,15.46,18.559999,18.559999,82216400,333
15/1/2021,21.58,22.610001,18.57,19.700001,19.700001,98370100,328
19/1/2021,19.17,20.200001,17.4,20.09,20.09,43118500,262
20/1/2021,19.389999,19.959999,18.5,18.790001,18.790001,26242300,118
21/1/2021,18.059999,18.379999,17.17,17.92,17.92,25972100,92
22/1/2021,17.040001,18.549999,17,18.02,18.02,20946000,62
25/1/2021,17.780001,18.299999,15.6,17.18,17.18,26222800,20
26/1/2021,18.27,19.85,18,19.030001,19.030001,34360300,20
27/1/2021,17.799999,21.5,17.57,18.549999,18.549999,37553400,20
28/1/2021,19.01,20.73,18.43,18.700001,18.700001,26265300,25
29/1/2021,18.83,20.42,17.92,18.1,18.1,29193900,19
1/2/2021,19,19.48,17.780001,19.1,19.1,20854700,41
2/2/2021,19.76,24.08,19.299999,23.49,23.49,63160700,131
3/2/2021,25.459999,28.860001,24.700001,26.309999,26.309999,83712200,255
4/2/2021,25.549999,27.4,23.799999,26.780001,26.780001,33097900,0
5/2/2021,27.129999,27.35,25.610001,25.719999,25.719999,21523800,0
8/2/2021,26.34,30.6,25.950001,30.09,30.09,37459500,139
9/2/2021,35.18,45.490002,34.259998,42.349998,42.349998,133491300,1204
10/2/2021,65.830002,67,47,63.91,63.91,199442400,2808
11/2/2021,55.009998,55.009998,31.219999,32.16,32.16,216130200,2102
12/2/2021,29.26,35.41,28.209999,29,29,121408400,567
16/2/2021,30.99,36.349998,29.5,34.630001,34.630001,79099400,67
17/2/2021,31.940001,33.400002,30.65,31.51,31.51,40167500,151
18/2/2021,33.099998,35.139999,27.02,27.1,27.1,55362900,132
19/2/2021,27.799999,29.9,27.309999,29.209999,29.209999,28026800,74
22/2/2021,27.34,28.870001,26.25,26.290001,26.290001,28022500,51
23/2/2021,24.040001,24.950001,21.129999,24.790001,24.790001,27397600,49
24/2/2021,25.33,28.280001,24.9,27.98,27.98,25906800,90
25/2/2021,26.9,27.73,24.299999,24.5,24.5,29849700,183
26/2/2021,25.049999,25.99,23.5,24.360001,24.360001,19372900,95
1/3/2021,25.120001,26.620001,24.77,25.559999,25.559999,14907300,9
2/3/2021,26.16,29.6,25.469999,25.9,25.9,35070500,59
3/3/2021,26.58,27.1,24.719999,25.290001,25.290001,16434600,122
4/3/2021,24.950001,25.85,21.66,22.65,22.65,25796600,13
5/3/2021,22.99,23.219999,18.23,21.629999,21.629999,27012400,0
8/3/2021,21.73,23.42,20.799999,22.42,22.42,18997900,9
9/3/2021,23.23,25.040001,23.02,24.41,24.41,17739900,31
10/3/2021,26.74,27.110001,23.110001,24.1,24.1,27575000,36
11/3/2021,24.77,28.299999,24.309999,28.200001,28.200001,38273200,146
12/3/2021,26.280001,29.440001,25.66,27.57,27.57,40665300,112
15/3/2021,27.24,31.34,26.93,30.469999,30.469999,43471200,116
16/3/2021,30.52,30.549999,26.17,26.969999,26.969999,42308100,78
17/3/2021,25.790001,28.040001,25,27.469999,27.469999,20641800,14
18/3/2021,26.950001,28.139999,25.15,25.32,25.32,24905900,12
19/3/2021,25.450001,26.34,24.68,25.35,25.35,16057100,12
22/3/2021,25.549999,26.030001,23.82,23.9,23.9,16986000,12
23/3/2021,23.52,24.68,22.280001,23.219999,23.219999,24576800,12
24/3/2021,23.389999,24.48,22.1,22.190001,22.190001,25929400,12
25/3/2021,21.23,22.9,20.9,22.83,22.83,17471100,12
26/3/2021,23.280001,23.370001,21.09,22.08,22.08,14216600,12
29/3/2021,22.15,23.35,21.559999,21.629999,21.629999,12267700,20
30/3/2021,21.620001,22.58,21.15,22.040001,22.040001,11488000,16
31/3/2021,23.030001,24.129999,22.52,22.73,22.73,20987000,105
1/4/2021,23.42,23.629999,22.15,22.34,22.34,12691800,31
5/4/2021,22.809999,22.85,21.620001,22.07,22.07,11486200,54
6/4/2021,21.809999,22.07,20.91,21.139999,21.139999,16494100,44
7/4/2021,20.93,20.98,19.57,19.76,19.76,18597900,85
8/4/2021,19.9,20.190001,19.08,19.77,19.77,13503500,82
9/4/2021,19.700001,20.68,19.4,19.76,19.76,14099600,72
12/4/2021,18,18.209999,17.1,17.190001,17.190001,27251700,63
13/4/2021,16.389999,18.530001,16.280001,18.32,18.32,23514900,63
14/4/2021,18.09,18.129999,17.32,17.4,17.4,15412000,55
15/4/2021,17.68,18.450001,16.93,16.940001,16.940001,20269600,66
16/4/2021,16.76,17.290001,16.26,17.200001,17.200001,12323100,40
19/4/2021,17.26,18.49,16.870001,17.440001,17.440001,15933400,53
20/4/2021,18,18.200001,15.63,15.89,15.89,22046000,68
21/4/2021,15.53,16.82,15.17,16.82,16.82,13434600,23
22/4/2021,17.040001,17.139999,16.129999,16.459999,16.459999,12333200,1
23/4/2021,16.51,17.27,16.219999,17.07,17.07,10367500,17
26/4/2021,17.129999,17.860001,16.92,17.85,17.85,9902900,27
27/4/2021,18.17,18.41,17.290001,17.719999,17.719999,13843300,36
28/4/2021,17.790001,19.57,17.4,19.32,19.32,29235500,70
29/4/2021,18.77,18.92,17.629999,18.65,18.65,25153200,31
30/4/2021,18.280001,19.26,17.98,18.34,18.34,19253000,67
3/5/2021,18.559999,18.629999,16.860001,17.02,17.02,25517200,118
4/5/2021,16.66,17.02,15.86,16.1,16.1,25627400,54
5/5/2021,16.18,16.66,15.87,15.9,15.9,21052700,64
6/5/2021,15.6,15.7,13.83,14.15,14.15,33695700,110
7/5/2021,15.3,17.02,15.04,16.18,16.18,74836300,298
10/5/2021,16.4,16.43,14.87,15.04,15.04,30296100,82
11/5/2021,13.9,15.71,13.82,15.66,15.66,28098200,36
12/5/2021,15.37,15.67,14.48,14.53,14.53,19927800,31
13/5/2021,14.64,15.12,13.41,13.68,13.68,25921400,52
14/5/2021,13.96,14.46,13.69,13.93,13.93,22006000,29
17/5/2021,14,15.18,13.75,15.16,15.16,24051200,51
18/5/2021,15.05,15.87,14.85,15.58,15.58,18873800,37
19/5/2021,15.05,15.31,14.68,15.02,15.02,15473600,14
20/5/2021,15.1,15.56,14.79,14.94,14.94,16572200,25
21/5/2021,15.08,15.44,14.77,15.23,15.23,15448100,25
24/5/2021,15.25,15.44,14.62,15.03,15.03,15548100,22
25/5/2021,15.09,16.459999,15.07,15.46,15.46,33255500,75
26/5/2021,15.76,16.73,15.49,16.67,16.67,23650200,131
27/5/2021,17,17.200001,16.16,17.17,17.17,28424000,235
28/5/2021,17.16,18.74,16.67,16.67,16.67,65329400,493
1/6/2021,17.129999,17.74,16.700001,16.98,16.98,23584600,118
2/6/2021,17.25,19.139999,17.139999,19,19,47991300,519
3/6/2021,20.67,22.139999,19.1,19.719999,19.719999,84607700,932
4/6/2021,20.209999,20.469999,18.42,18.799999,18.799999,35885800,445
7/6/2021,19.07,20.18,18.530001,19.719999,19.719999,34434700,437
8/6/2021,20.209999,20.51,19.27,20.219999,20.219999,30400300,532
9/6/2021,20.67,23.040001,20.43,21.43,21.43,85875600,1281
10/6/2021,21.4,21.440001,19.790001,20.049999,20.049999,33839100,468
11/6/2021,19.9,20.200001,19.360001,19.889999,19.889999,22581700,272
14/6/2021,19.9,20.299999,18.879999,19.16,19.16,27324700,254
15/6/2021,18.700001,19.25,17.83,17.98,17.98,28584300,200
16/6/2021,17.92,18.690001,17.639999,18.129999,18.129999,22690500,181
17/6/2021,18.02,18.360001,17.41,17.469999,17.469999,20519700,117
18/6/2021,17.5,17.76,16.84,16.91,16.91,19100300,99
21/6/2021,16.809999,17.5,16.32,17.370001,17.370001,21618900,185
22/6/2021,17.25,17.49,16.84,17.43,17.43,13103900,102
23/6/2021,17.610001,18.17,17.440001,17.610001,17.610001,15644500,139
