Date,Open,High,Low,Close,Adj Close,Volume,count,tb_polarity,tb_subjectivity,v_pos,v_neg,v_neu,v_com,mv_pos,mv_neg,mv_neu,mv_com,Movement,rsi,Prediction,tb,tbPrediction,dvcom,dvPrediction
4/1/2021,719.460022,744.48999,717.190002,729.77002,729.77002,48638200,552,0.029912462,0.340929354,0.084237319,0.070898551,0.844851449,0.037512862,0.149402174,0.11790942,0.732679348,0.069505978,1,-1,incorrect,1,correct,1,correct
5/1/2021,723.659973,740.840027,719.200012,735.109985,735.109985,32245200,667,0.063103609,0.336588196,0.100707646,0.065118441,0.834176912,0.077523838,0.197973013,0.090283358,0.711754123,0.193022039,1,1,correct,1,correct,1,correct
6/1/2021,758.48999,774,749.099976,755.97998,755.97998,44700000,851,0.033161394,0.327921768,0.08959812,0.068360752,0.842045828,0.05852973,0.176752056,0.093132785,0.730103408,0.162772033,-1,-1,correct,1,incorrect,1,incorrect
7/1/2021,777.630005,816.98999,775.200012,816.039978,816.039978,51498900,1713,0.037600299,0.34017066,0.09627087,0.069005838,0.834721541,0.071168885,0.165201985,0.098269702,0.736525394,0.148730123,1,-1,incorrect,1,correct,1,correct
8/1/2021,856,884.48999,838.390015,880.02002,880.02002,75055500,2990,0.037179289,0.340336844,0.094449498,0.072395652,0.833156522,0.054850268,0.165126421,0.106464883,0.728413378,0.128302074,1,-1,incorrect,1,correct,1,correct
11/1/2021,849.400024,854.429993,803.619995,811.190002,811.190002,59301600,1955,0.029621367,0.317474745,0.091560102,0.073629156,0.834804092,0.045934066,0.174061381,0.106629668,0.719307417,0.137775754,-1,-1,correct,1,incorrect,1,incorrect
12/1/2021,831,868,827.340027,849.440002,849.440002,46270700,1359,0.042322305,0.331992431,0.091979397,0.070774099,0.837247976,0.046688962,0.163167035,0.098424577,0.738412068,0.140670567,1,-1,incorrect,1,correct,1,correct
13/1/2021,852.76001,860.469971,832,854.409973,854.409973,33312500,979,0.037830026,0.31624301,0.092261491,0.073650664,0.834090909,0.049209397,0.16428907,0.100932584,0.734789581,0.117220225,1,-1,incorrect,1,correct,1,correct
14/1/2021,843.390015,863,838.75,845,845,31266300,743,0.027126127,0.351434037,0.087419919,0.075060565,0.837514132,0.038105922,0.166495289,0.104551817,0.728956931,0.122070929,1,-1,incorrect,1,correct,1,correct
15/1/2021,852,859.900024,819.099976,826.159973,826.159973,38777600,612,0.029470456,0.314975327,0.091310458,0.07273366,0.835962418,0.043961928,0.167245098,0.097916667,0.734834967,0.133314216,-1,-1,correct,1,incorrect,1,incorrect
